index,cluster,psnr_standard,psnr_optimized,bpp_standard,bpp_optimized,bpp_uncompressed,ssim_standard,ssim_optimized
838,3,41.99492092,44.92790592,0.886089325,0.876312256,8,0.975749096,0.985195199
839,3,41.47894482,45.39559858,0.789089203,0.807765961,8,0.978524881,0.988937411
840,3,43.62526503,47.13697649,0.611316681,0.611385345,8,0.982694474,0.990169176
841,3,42.2347977,45.83033912,0.78811264,0.795787811,8,0.979622284,0.989443745
842,3,42.22757485,45.98338715,0.765712738,0.771793365,8,0.979643926,0.989355295
843,7,41.63651623,43.34501999,0.88066864,0.855010986,8,0.972525539,0.979017707
844,3,40.97421812,44.374593,0.969451904,0.968856812,8,0.972540557,0.984689432
845,3,41.52060642,44.89438163,0.908618927,0.906280518,8,0.975205573,0.986547002
846,3,41.96177336,45.24885436,0.834472656,0.830341339,8,0.976563844,0.986677541
847,3,42.9485428,46.12604213,0.699237823,0.688610077,8,0.976933858,0.987341662
848,3,41.50547467,44.94383099,0.873474121,0.869556427,8,0.974327623,0.984944432
849,3,42.96105964,47.03005638,0.655124664,0.664615631,8,0.982854274,0.991001992
850,3,44.57982284,48.05309136,0.546627045,0.545444489,8,0.984723027,0.992019883
851,3,42.43992892,46.41974459,0.686962128,0.697734833,8,0.97977188,0.990430474
852,3,43.00085121,47.01871768,0.630153656,0.635025024,8,0.978870954,0.990936436
853,3,42.73473216,46.81385813,0.639305115,0.650478363,8,0.979925004,0.990827883
854,3,43.64085623,47.84266863,0.563751221,0.567062378,8,0.978793737,0.992399604
855,3,42.92045125,47.21657403,0.642299652,0.660011292,8,0.985564819,0.992921629
856,3,42.87715409,46.41997921,0.682155609,0.682975769,8,0.980542729,0.989003496
857,3,42.31240441,46.26016829,0.765201569,0.780323029,8,0.982647646,0.991290778
858,3,41.32983132,45.55907915,0.775733948,0.79970932,8,0.979470345,0.990174922
859,3,43.82332959,47.66960866,0.583309174,0.585899353,8,0.982184166,0.991499399
860,3,42.2604728,46.15197287,0.769599915,0.77829361,8,0.980527019,0.990650154
861,3,43.65279177,47.47950271,0.589874268,0.588104248,8,0.98144377,0.991440794
862,3,43.48802709,47.27042049,0.611053467,0.615154266,8,0.984180027,0.991311831
863,3,41.75023738,46.26814477,0.76007843,0.786151886,8,0.980895188,0.992584559
864,3,42.64032997,46.82706588,0.697818756,0.712329865,8,0.98309125,0.992710102
865,3,42.38833113,46.58000342,0.704208374,0.721195221,8,0.982438361,0.991760994
866,3,41.0845066,45.21273556,0.876369476,0.903251648,8,0.980493151,0.989955556
867,3,42.08057959,46.14025554,0.715675354,0.730476379,8,0.979930786,0.99058848
868,3,42.28825921,46.46518417,0.701042175,0.715156555,8,0.980437619,0.991104037
869,3,42.152004,45.94575082,0.782272339,0.790370941,8,0.979233507,0.989636425
